1	455.6666667
2	492.9166667
3	489.4166667
4	475.6666667
5	489.6666667
6	520.9166667
7	554.75
8	577.9166667
9	565.4166667
10	557.75
11	577.8333333
12	653.0833333
13	742.3333333
14	858
15	964.8333333
16	1084.333333
17	1251.833333
18	1315
19	1435.666667
20	1470
21	1432.583333
22	1340.083333
23	1190.666667
24	1023
25	895.3333333
26	788.9166667
27	732.0833333
28	715.5833333
29	733.5833333
30	757.0833333
31	691.5
32	611.4166667
33	533.6666667
34	507.9166667
35	504.5833333
36	507.3333333
37	514.5
38	515.8333333
39	528.0833333
40	504.5
